Date,XLU,XLV,DIA,GDX,XLE,XLY,VNQ,XLK,XLF,XLP,FSTA,IHI,XRT,RXI,IYW,VIS,KBE,SIL,FNCL,XAR,FXU,SHY
2020-01-31,68.9800033569336,99.13999938964844,280.80224609375,28.989999771118164,53.439998626708984,125.31999969482422,93.20262908935547,95.33000183105469,29.959999084472656,63.18000030517578,37.35647201538086,264.6000061035156,43.060001373291016,122.83000183105469,242.2100067138672,152.14266967773438,44.189998626708984,31.100000381469727,42.827537536621094,112.55000305175781,29.719999313354492,84.86109161376953
2020-02-03,69.19999694824219,100.04000091552734,282.353271484375,28.559999465942383,52.7400016784668,126.20999908447266,93.51022338867188,96.58999633789062,30.170000076293945,63.18000030517578,37.366390228271484,266.7200012207031,43.4900016784668,123.62999725341797,245.72999572753906,152.29188537597656,44.68000030517578,30.489999771118164,43.144195556640625,112.72000122070312,29.809999465942383,84.83612060546875
2020-02-04,68.51000213623047,101.80000305175781,286.3900146484375,28.049999237060547,52.93000030517578,128.50999450683594,94.47271728515625,99.12000274658203,30.459999084472656,63.560001373291016,37.57475280761719,271.55999755859375,43.83000183105469,125.7699966430664,251.3800048828125,155.10693359375,45.33000183105469,30.1299991607666,43.62907409667969,115.38999938964844,29.760000228881836,84.74626159667969
2020-02-05,68.79000091552734,103.76000213623047,291.182373046875,28.049999237060547,54.91999816894531,129.16000366210938,94.5322494506836,99.69999694824219,31.06999969482422,64.06999969482422,37.88233947753906,273.45001220703125,44.81999969482422,126.56999969482422,252.49000549316406,157.69320678710938,46.369998931884766,30.40999984741211,44.48008346557617,116.41000366210938,29.93000030517578,84.68634033203125
2020-02-06,68.80999755859375,103.8499984741211,292.0573425292969,28.399999618530273,54.36000061035156,128.8699951171875,94.84976959228516,100.61000061035156,31.030000686645508,64.18000030517578,37.99148178100586,273.6600036621094,44.56999969482422,126.69999694824219,255.22999572753906,157.75289916992188,45.91999816894531,31.239999771118164,44.400917053222656,117.11000061035156,29.93000030517578,84.70631408691406
2020-02-07,68.58999633789062,103.04000091552734,289.52197265625,27.93000030517578,53.97999954223633,128.30999755859375,94.82992553710938,99.69000244140625,30.920000076293945,64.26000213623047,38.060935974121094,269.489990234375,43.90999984741211,125.43000030517578,253.30999755859375,156.5890655517578,45.54999923706055,30.600000381469727,44.242591857910156,117.16000366210938,29.969999313354492,84.75624084472656
2020-02-10,68.8499984741211,103.58999633789062,291.27191162109375,28.389999389648438,53.709999084472656,129.75999450683594,95.89163970947266,101.04000091552734,31.010000228881836,64.52999877929688,38.219688415527344,271.2900085449219,44.0099983215332,126.33000183105469,256.7799987792969,157.33511352539062,45.529998779296875,30.729999542236328,44.33164978027344,117.87000274658203,29.940000534057617,84.79618072509766
2020-02-11,69.0999984741211,104.20999908447266,291.261962890625,28.43000030517578,54.310001373291016,130.77999877929688,96.6159896850586,100.69999694824219,31.1200008392334,64.29000091552734,38.12046432495117,273.70001220703125,44.349998474121094,127.05999755859375,256.1199951171875,158.09109497070312,45.90999984741211,30.950000762939453,44.539451599121094,118.45999908447266,31.059999465942383,84.75624084472656
2020-02-12,69.1500015258789,104.33999633789062,294.0260314941406,28.1200008392334,55.040000915527344,132.1199951171875,97.19149780273438,101.79000091552734,31.139999389648438,64.26000213623047,38.060935974121094,271.989990234375,45.099998474121094,128.55999755859375,258.8999938964844,159.5831756591797,45.90999984741211,30.459999084472656,44.579036712646484,119.1500015258789,31.1299991607666,84.71629333496094
2020-02-13,69.91999816894531,103.8499984741211,293.1311950683594,28.31999969482422,54.869998931884766,131.88999938964844,97.77693176269531,101.5199966430664,31.1299991607666,64.63999938964844,38.27922058105469,272.9800109863281,44.93000030517578,127.94999694824219,258.07000732421875,158.93661499023438,46.11000061035156,30.6200008392334,44.588932037353516,119.0,31.3700008392334,84.73626708984375
2020-02-14,70.38999938964844,103.93000030517578,292.852783203125,28.309999465942383,54.58000183105469,131.69000244140625,98.78902435302734,101.95999908447266,31.170000076293945,64.79000091552734,38.398284912109375,276.25,44.81999969482422,127.66999816894531,258.92999267578125,158.74761962890625,45.81999969482422,30.81999969482422,44.608726501464844,118.54000091552734,31.469999313354492,84.77621459960938
2020-02-18,70.9800033569336,103.55999755859375,291.27191162109375,29.229999542236328,54.130001068115234,131.67999267578125,98.67987823486328,101.58000183105469,30.899999618530273,64.55999755859375,38.24945068359375,274.07000732421875,45.0099983215332,126.87000274658203,258.2699890136719,157.94189453125,45.22999954223633,31.969999313354492,44.26238250732422,117.33000183105469,31.829999923706055,84.80616760253906
2020-02-19,70.20999908447266,104.04000091552734,292.4153137207031,29.75,54.849998474121094,132.27000427246094,97.35025787353516,102.79000091552734,31.1299991607666,64.48999786376953,38.219688415527344,275.9100036621094,45.11000061035156,127.6500015258789,260.8800048828125,158.09109497070312,45.5,32.689998626708984,44.5196647644043,117.31999969482422,31.739999771118164,84.81615447998047
2020-02-20,70.45999908447266,103.37000274658203,291.10284423828125,29.75,54.790000915527344,132.32000732421875,98.51119995117188,101.72000122070312,31.06999969482422,64.54000091552734,38.239532470703125,274.4100036621094,46.099998474121094,127.04000091552734,258.1400146484375,157.97174072265625,45.97999954223633,32.560001373291016,44.539451599121094,116.79000091552734,31.770000457763672,84.83612060546875
